VgosDB,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_B,Total_D,Total_E,Total_F,Total_G,Total_H,Total_N,Total_-
20220419-r11047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1274
20220420-rd2204,8,0,0,2,1,4,6,17,43,65,0,0,0,0,0,0,276,0
20220421-r41047,14,0,0,0,0,0,2,24,231,547,0,0,0,0,22,0,0,0
20220425-r11048,31,0,0,0,0,16,2,13,29,151,0,0,0,0,0,0,0,0
20220428-r41048,11,0,0,0,0,5,11,70,211,752,0,0,0,0,40,0,12,0
20220503-r11049,38,0,0,1,0,30,28,187,585,685,0,0,0,0,1,1,4,6
20220505-r41049,17,0,0,0,0,0,1,17,65,321,0,0,0,0,9,0,0,0
20220509-r11050,25,0,0,0,0,20,19,119,340,390,0,0,0,0,1,0,0,392
20220511-rd2205,34,0,0,0,0,3,12,35,118,383,0,0,0,0,1,4,0,0
20220512-r41050,47,0,0,0,0,3,12,56,186,586,0,0,0,0,18,30,0,12
20220519-r41051,131,0,0,0,0,1,7,13,26,319,0,0,0,0,5,4,0,0
20220523-r11052,210,0,0,0,0,16,100,225,443,1608,0,0,0,0,8,2,0,10
20220531-r11053,91,0,1,0,7,55,205,302,519,999,0,0,0,0,0,1,236,0
20220602-r41053,34,0,0,0,0,0,0,4,51,346,0,0,0,0,4,9,0,0
20220607-r11054,67,0,0,0,2,17,93,166,389,737,0,0,0,0,0,1,0,0
20220609-r41054,39,0,0,0,0,0,3,23,119,582,0,0,0,0,11,7,0,0
20220613-r11055,41,0,0,0,0,1,4,31,136,576,0,0,0,0,2,1,0,0
20220616-r41055,25,0,0,0,0,0,5,26,156,478,0,0,0,0,3,11,0,0
20220621-r11056,110,0,0,1,2,26,139,350,580,1163,0,0,0,0,1,4,0,0
20220623-r41056,15,0,0,0,1,2,13,81,225,703,0,0,0,0,20,4,0,22
20220627-r11057,64,0,0,0,3,25,96,169,337,1033,0,0,0,0,3,0,10,0
20220629-rd2206,43,0,0,0,0,5,10,33,189,465,0,0,0,0,4,1,0,0
20220630-r41057,37,0,0,0,0,4,3,33,65,293,0,0,0,0,62,3,0,168
20220704-r11058,23,0,0,0,2,22,128,347,402,826,0,0,0,0,1,5,2,4
20220706-r41058,16,0,0,0,0,3,9,55,93,488,0,0,0,0,12,2,0,28
20220711-r11059,51,0,1,1,2,7,49,155,305,1028,0,0,0,0,0,7,30,58
20220712-t2154,365,0,0,3,3,10,24,46,137,322,0,0,0,0,0,0,2,460
20220714-r41059,10,0,0,0,0,2,4,20,33,244,0,0,0,0,7,2,0,370
20220718-r11060,15,0,0,0,0,0,2,24,73,397,0,0,0,0,0,1,18,0
20220721-r41060,43,0,0,0,0,1,10,73,158,352,0,0,0,0,7,6,6,0
20220725-r11061,34,0,1,2,4,26,106,230,515,1257,0,0,0,0,1,8,0,256
20220728-r41061,11,0,0,1,3,21,55,85,126,116,0,0,0,0,17,9,0,276
20220801-r11062,16,0,0,0,0,0,0,9,100,117,0,0,0,0,0,0,8,0
20220803-r41062,38,0,0,0,0,0,5,36,242,308,0,0,0,0,4,11,8,18
20220808-r11063,64,0,0,0,1,16,106,327,664,1118,0,0,0,0,15,3,0,254
20220810-rd2207,92,0,0,0,1,1,2,24,67,121,0,0,0,0,0,0,56,0
20220811-r41063,14,0,0,0,0,0,0,12,49,279,0,0,0,0,6,0,0,350
20220818-r41064,27,0,0,0,2,6,5,90,178,386,0,0,0,0,9,1,28,0
20220825-r41065,23,0,0,0,0,1,15,49,111,519,0,0,0,0,16,0,0,8
20220829-r11066,65,0,0,1,2,7,31,181,521,786,0,0,0,0,0,0,8,0
20220901-r41066,32,0,0,0,1,5,55,123,278,631,0,0,0,0,27,4,0,26
20220905-r11067,31,0,0,0,0,6,21,109,683,552,0,0,0,0,7,3,0,30
20220908-r41067,97,0,0,0,1,1,5,59,158,397,0,0,0,0,10,0,0,0
20220912-r11068,280,0,0,0,10,150,128,283,1010,1709,0,0,0,0,2,0,2,364
20220913-t2155,491,0,0,0,2,9,26,79,205,714,0,0,0,0,0,0,2,106
20220914-rd2208,56,0,0,1,6,10,40,103,89,332,0,0,0,0,5,2,0,6
20220915-r41068,28,0,0,0,0,0,1,17,146,484,0,0,0,0,24,0,0,16
20220919-r11069,46,6,0,7,3,4,8,40,223,452,0,0,0,0,29,2,362,4
20220922-r41069,2,0,0,0,0,0,11,35,64,166,0,0,0,0,0,2,0,54
20220926-r11070,28,0,1,0,0,7,23,50,141,247,0,0,0,0,0,1,0,58
20220929-r41070,33,0,0,0,1,0,11,37,182,466,0,0,0,0,12,8,0,306
20221004-r11071,66,0,0,0,1,4,21,110,551,597,0,0,0,0,0,0,0,0
20221006-r41071,31,0,0,0,0,4,12,154,328,553,0,0,0,0,24,0,0,16
20221011-r11072,55,0,0,0,0,3,5,59,108,415,0,0,0,0,4,5,0,0
20221013-r41072,35,0,0,0,0,2,10,74,95,309,0,0,0,0,15,16,2,626
20221017-r11073,26,0,0,0,0,1,14,103,180,359,0,0,0,0,0,1,16,394
20221018-t2156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158
20221020-r41073,20,0,0,0,0,0,3,21,124,412,0,0,0,0,2,0,268,0
20221024-r11074,313,0,0,0,1,8,34,114,317,844,0,0,0,0,2,1,0,274
