VgosDB,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_B,Total_D,Total_E,Total_F,Total_G,Total_H,Total_N,Total_-
20210520-r4999,751,0,1,0,0,0,3,28,117,1273,0,0,0,0,59,4,2,0
20210525-r11000,280,0,0,0,0,3,51,125,251,825,0,0,0,0,13,0,0,1620
20210527-r41000,589,0,0,0,0,0,0,31,126,893,0,0,0,0,97,0,0,600
20210531-r11001,77,0,0,0,0,0,41,159,295,302,0,0,0,0,2,0,0,652
20210603-r41001,57,0,0,0,1,14,73,173,251,827,0,0,0,0,4,0,8,1106
20210607-r11002,37,0,0,0,1,4,13,35,140,1616,0,0,0,0,0,0,4,0
20210609-r41002,114,0,0,0,0,13,67,177,227,899,0,0,0,0,7,0,128,0
20210614-r11003,362,0,1,0,1,2,0,7,31,871,0,0,0,0,1,0,0,0
20210617-r41003,237,0,0,0,1,21,72,172,169,1206,0,0,0,0,5,5,0,0
20210621-r11004,113,0,0,0,1,6,31,96,351,665,0,0,0,12,1,1,92,459
20210623-rd2105,55,0,0,0,0,5,11,85,98,338,0,0,0,0,19,1,616,0
20210624-r41004,338,0,0,0,0,5,26,76,265,1184,0,0,0,0,19,21,10,0
20210628-r11005,243,0,0,1,8,14,68,138,397,774,0,0,0,0,4,3,6,18
20210701-r41005,365,0,0,1,0,1,21,88,215,1004,0,0,0,0,36,1,2,478
20210706-r11006,12,0,0,0,15,28,83,124,124,126,0,0,0,0,8,0,0,340
20210708-r41006,567,0,0,0,0,0,4,22,155,1312,0,0,0,0,155,37,0,242
20210712-r11007,669,0,0,3,7,26,42,104,350,2666,0,0,0,0,5,0,1228,0
20210713-t2147,0,0,0,3,6,15,100,134,207,640,0,0,0,0,0,0,427,853
20210715-r41007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2258
20210719-r11008,563,0,0,0,2,6,20,49,148,764,0,0,0,0,13,1,50,0
20210722-r41008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2376
20210726-r11009,398,0,0,0,2,7,16,66,299,1591,0,0,0,0,9,0,216,238
20210729-r41009,187,0,0,0,0,2,2,30,87,654,0,0,0,0,28,0,0,94
20210802-r11010,945,0,0,0,0,0,0,0,0,216,0,0,0,0,1,0,0,446
20210804-r41010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2082
20210810-r11011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2798
20210812-r41011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1636,0
20210817-r11012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3120
20210819-r41012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20210902-r41014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20210909-r41015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20210914-t2148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3144
20210916-r41016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210
20210920-r11017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2768
20210922-rd2107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,0
20210923-r41017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1628
20210927-r11018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4040,276
20210930-r41018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
20211004-r11019,1054,0,1,0,1,1,32,95,281,1636,0,0,0,0,1,0,0,484
20211006-rd2108,426,0,0,0,0,0,3,6,13,185,0,0,0,0,3,0,0,144
20211007-r41019,542,0,0,0,0,15,7,79,59,983,0,0,0,0,54,1,0,398
20211012-r11020,679,0,0,1,1,9,36,128,408,2472,0,0,0,0,1,1,0,364
20211018-r11021,216,0,0,0,3,9,22,75,219,1115,0,0,0,0,1,0,42,416
